Using device: cuda
Training model...
Epoch 1/1 | Batch 0/21973 | Loss: 3.5063 | BPB: 5.0585 | LR: 0.000000 | ms/batch: 830.4
Epoch 1/1 | Batch 100/21973 | Loss: 3.5046 | BPB: 5.0560 | LR: 0.000000 | ms/batch: 55.2
Epoch 1/1 | Batch 200/21973 | Loss: 3.5047 | BPB: 5.0562 | LR: 0.000000 | ms/batch: 50.8
Epoch 1/1 | Batch 300/21973 | Loss: 3.5038 | BPB: 5.0550 | LR: 0.000000 | ms/batch: 49.2
Epoch 1/1 | Batch 400/21973 | Loss: 3.5034 | BPB: 5.0544 | LR: 0.000000 | ms/batch: 48.5
Epoch 1/1 | Batch 500/21973 | Loss: 3.5029 | BPB: 5.0536 | LR: 0.000000 | ms/batch: 48.1
Epoch 1/1 | Batch 600/21973 | Loss: 3.5028 | BPB: 5.0535 | LR: 0.000000 | ms/batch: 48.0
Epoch 1/1 | Batch 700/21973 | Loss: 3.5017 | BPB: 5.0519 | LR: 0.000000 | ms/batch: 47.7
Epoch 1/1 | Batch 800/21973 | Loss: 3.5008 | BPB: 5.0506 | LR: 0.000000 | ms/batch: 47.6
Epoch 1/1 | Batch 900/21973 | Loss: 3.4997 | BPB: 5.0490 | LR: 0.000000 | ms/batch: 47.5
Epoch 1/1 | Batch 1000/21973 | Loss: 3.4983 | BPB: 5.0471 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/1 | Batch 1100/21973 | Loss: 3.4967 | BPB: 5.0446 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/1 | Batch 1200/21973 | Loss: 3.4949 | BPB: 5.0421 | LR: 0.000000 | ms/batch: 47.3
Epoch 1/1 | Batch 1300/21973 | Loss: 3.4928 | BPB: 5.0390 | LR: 0.000000 | ms/batch: 47.3
Epoch 1/1 | Batch 1400/21973 | Loss: 3.4901 | BPB: 5.0352 | LR: 0.000000 | ms/batch: 47.2
Epoch 1/1 | Batch 1500/21973 | Loss: 3.4872 | BPB: 5.0309 | LR: 0.000000 | ms/batch: 47.2
Epoch 1/1 | Batch 1600/21973 | Loss: 3.4837 | BPB: 5.0259 | LR: 0.000000 | ms/batch: 47.2
Epoch 1/1 | Batch 1700/21973 | Loss: 3.4796 | BPB: 5.0200 | LR: 0.000000 | ms/batch: 47.2
Epoch 1/1 | Batch 1800/21973 | Loss: 3.4752 | BPB: 5.0137 | LR: 0.000000 | ms/batch: 47.2
Epoch 1/1 | Batch 1900/21973 | Loss: 3.4704 | BPB: 5.0067 | LR: 0.000000 | ms/batch: 47.2
Epoch 1/1 | Batch 2000/21973 | Loss: 3.4651 | BPB: 4.9991 | LR: 0.000000 | ms/batch: 47.2
